NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		16	0.4824929	1.2136577	0.2524655	1.0	0.716	88	tags=38%, list=16%, signal=43%	
GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE		59	0.3568038	1.2038723	0.20272905	1.0	0.722	130	tags=39%, list=24%, signal=46%	
GOCC_VESICLE_MEMBRANE	GOCC_VESICLE_MEMBRANE		31	0.40869114	1.2036444	0.2309237	1.0	0.722	80	tags=26%, list=15%, signal=29%	
GOBP_CELL_CELL_ADHESION	GOBP_CELL_CELL_ADHESION		21	0.45777422	1.2029574	0.17311609	1.0	0.722	129	tags=43%, list=24%, signal=54%	
GOMF_CALCIUM_ION_BINDING	GOMF_CALCIUM_ION_BINDING		25	0.42933878	1.1997623	0.23481782	1.0	0.723	81	tags=32%, list=15%, signal=36%	
HP_INTELLECTUAL_DISABILITY_SEVERE	HP_INTELLECTUAL_DISABILITY_SEVERE		15	0.48053926	1.1969593	0.24271844	1.0	0.724	146	tags=53%, list=27%, signal=71%	
GOMF_CATION_CHANNEL_ACTIVITY	GOMF_CATION_CHANNEL_ACTIVITY		19	0.42841598	1.1893154	0.26550388	1.0	0.728	81	tags=42%, list=15%, signal=48%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS		25	0.41625857	1.159962	0.26347306	1.0	0.738	120	tags=40%, list=22%, signal=49%	
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		16	0.45293197	1.1592823	0.33203125	1.0	0.738	119	tags=56%, list=22%, signal=70%	
GOBP_SYNAPTIC_SIGNALING	GOBP_SYNAPTIC_SIGNALING		31	0.3899718	1.1510683	0.306163	1.0	0.743	146	tags=52%, list=27%, signal=66%	
GOBP_FOREBRAIN_DEVELOPMENT	GOBP_FOREBRAIN_DEVELOPMENT		18	0.41007218	1.1484059	0.32884616	1.0	0.743	129	tags=50%, list=24%, signal=63%	
GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		24	0.40405938	1.1311702	0.31589538	1.0	0.75	146	tags=54%, list=27%, signal=71%	
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II		18	0.41105634	1.1310415	0.31288344	1.0	0.75	166	tags=72%, list=30%, signal=100%	
GOBP_TAXIS	GOBP_TAXIS		16	0.40916583	1.127713	0.30632412	1.0	0.75	178	tags=50%, list=32%, signal=72%	
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	GOBP_CELLULAR_COMPONENT_MORPHOGENESIS		29	0.390545	1.1258689	0.32459676	1.0	0.75	159	tags=55%, list=29%, signal=74%	
GOBP_GROWTH	GOBP_GROWTH		22	0.39482072	1.1222156	0.32868525	1.0	0.75	120	tags=41%, list=22%, signal=50%	
GOCC_POSTSYNAPSE	GOCC_POSTSYNAPSE		27	0.39193493	1.1218897	0.37058824	1.0	0.75	130	tags=44%, list=24%, signal=55%	
GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM	GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM		16	0.43174434	1.1213137	0.32238194	1.0	0.751	128	tags=50%, list=23%, signal=63%	
GOBP_HEAD_DEVELOPMENT	GOBP_HEAD_DEVELOPMENT		26	0.3868362	1.120921	0.33266932	1.0	0.751	159	tags=50%, list=29%, signal=67%	
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION		20	0.41489992	1.1208384	0.34697855	1.0	0.751	187	tags=60%, list=34%, signal=88%	
HP_ABNORMALITY_OF_THE_PINNA	HP_ABNORMALITY_OF_THE_PINNA		26	0.38116318	1.1009594	0.33861387	1.0	0.762	141	tags=46%, list=26%, signal=59%	
GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY	GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY		16	0.41601986	1.1009294	0.356	1.0	0.762	81	tags=44%, list=15%, signal=50%	
GOMF_TRANSPORTER_ACTIVITY	GOMF_TRANSPORTER_ACTIVITY		57	0.33106983	1.0956321	0.33530572	1.0	0.762	60	tags=23%, list=11%, signal=23%	
GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_TRANSMEMBRANE_TRANSPORT		64	0.32335344	1.0915364	0.34653464	1.0	0.765	63	tags=25%, list=11%, signal=25%	
GOBP_HOMEOSTATIC_PROCESS	GOBP_HOMEOSTATIC_PROCESS		41	0.33579692	1.0880008	0.37195122	1.0	0.766	59	tags=27%, list=11%, signal=28%	
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING	GOMF_SEQUENCE_SPECIFIC_DNA_BINDING		26	0.38744968	1.0812954	0.37204725	1.0	0.768	119	tags=46%, list=22%, signal=56%	
GOBP_MITOTIC_CELL_CYCLE	GOBP_MITOTIC_CELL_CYCLE		19	0.39874727	1.0800248	0.36507937	1.0	0.77	126	tags=37%, list=23%, signal=46%	
GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING	GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING		15	0.42051503	1.0719495	0.398773	1.0	0.775	125	tags=47%, list=23%, signal=59%	
GOMF_GATED_CHANNEL_ACTIVITY	GOMF_GATED_CHANNEL_ACTIVITY		22	0.3893058	1.0705961	0.39717743	1.0	0.775	146	tags=55%, list=27%, signal=71%	
GOBP_ENDOCYTOSIS	GOBP_ENDOCYTOSIS		18	0.3861231	1.0675168	0.3984221	1.0	0.775	23	tags=17%, list=4%, signal=17%	
GOBP_NEUROGENESIS	GOBP_NEUROGENESIS		67	0.34240124	1.0624242	0.38866398	1.0	0.778	159	tags=45%, list=29%, signal=55%	
GOCC_MEMBRANE_PROTEIN_COMPLEX	GOCC_MEMBRANE_PROTEIN_COMPLEX		39	0.3439505	1.0593158	0.40232107	1.0	0.779	130	tags=41%, list=24%, signal=50%	
HP_ABNORMAL_LIVER_MORPHOLOGY	HP_ABNORMAL_LIVER_MORPHOLOGY		16	0.38280186	1.055389	0.43313372	1.0	0.782	61	tags=25%, list=11%, signal=27%	
HP_ABNORMAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	HP_ABNORMAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY		21	0.37938946	1.0546923	0.4291262	1.0	0.782	24	tags=19%, list=4%, signal=19%	
GOBP_CELL_GROWTH	GOBP_CELL_GROWTH		17	0.40082055	1.0440325	0.43110237	1.0	0.789	120	tags=41%, list=22%, signal=51%	
GOMF_CELL_ADHESION_MOLECULE_BINDING	GOMF_CELL_ADHESION_MOLECULE_BINDING		16	0.39871585	1.0338672	0.45983934	1.0	0.793	129	tags=44%, list=24%, signal=56%	
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION		36	0.34517515	1.0298945	0.46679688	1.0	0.797	116	tags=33%, list=21%, signal=40%	
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_NITROGEN_COMPOUND		21	0.3605416	1.0292525	0.45030427	1.0	0.797	84	tags=29%, list=15%, signal=32%	
GOBP_REGULATION_OF_TRANSPORT	GOBP_REGULATION_OF_TRANSPORT		63	0.30477038	1.0286812	0.4265873	1.0	0.798	105	tags=32%, list=19%, signal=35%	
GOCC_CATALYTIC_COMPLEX	GOCC_CATALYTIC_COMPLEX		34	0.31284022	1.0272305	0.42740285	1.0	0.798	161	tags=44%, list=29%, signal=59%	
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS		31	0.34141478	1.0168556	0.4668008	1.0	0.799	63	tags=26%, list=11%, signal=28%	
GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_CELL_PROJECTION_ORGANIZATION		57	0.32380176	1.0134008	0.45564517	1.0	0.8	187	tags=51%, list=34%, signal=69%	
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY	GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY		31	0.34701726	1.0048147	0.5088757	1.0	0.803	166	tags=52%, list=30%, signal=70%	
HP_ABNORMALITY_OF_THE_LIVER	HP_ABNORMALITY_OF_THE_LIVER		22	0.3442888	1.0031846	0.5041322	1.0	0.804	61	tags=23%, list=11%, signal=25%	
GOBP_CELL_CELL_SIGNALING	GOBP_CELL_CELL_SIGNALING		51	0.30949783	0.99202836	0.5137255	1.0	0.809	146	tags=41%, list=27%, signal=51%	
GOBP_CATION_TRANSMEMBRANE_TRANSPORT	GOBP_CATION_TRANSMEMBRANE_TRANSPORT		39	0.30780986	0.9902605	0.48023716	1.0	0.81	81	tags=31%, list=15%, signal=34%	
GOCC_CELL_BODY	GOCC_CELL_BODY		21	0.3552365	0.9879817	0.47683397	1.0	0.81	103	tags=43%, list=19%, signal=51%	
GOCC_SYNAPSE	GOCC_SYNAPSE		65	0.3135877	0.97993654	0.54545456	1.0	0.816	149	tags=40%, list=27%, signal=48%	
GOBP_LIPID_LOCALIZATION	GOBP_LIPID_LOCALIZATION		18	0.35650808	0.97934586	0.49306932	1.0	0.816	90	tags=28%, list=16%, signal=32%	
GOCC_ANCHORING_JUNCTION	GOCC_ANCHORING_JUNCTION		60	0.3142372	0.97594523	0.5498008	1.0	0.816	162	tags=43%, list=30%, signal=55%	
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		37	0.31379706	0.97394335	0.5364891	1.0	0.816	116	tags=32%, list=21%, signal=38%	
HP_LANGUAGE_IMPAIRMENT	HP_LANGUAGE_IMPAIRMENT		32	0.33126873	0.9732426	0.513834	1.0	0.817	146	tags=44%, list=27%, signal=56%	
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION		26	0.33225527	0.9705019	0.5272727	1.0	0.819	55	tags=19%, list=10%, signal=20%	
HP_ABNORMALITY_OF_NEURONAL_MIGRATION	HP_ABNORMALITY_OF_NEURONAL_MIGRATION		19	0.37402812	0.9620445	0.59009904	1.0	0.821	198	tags=63%, list=36%, signal=95%	
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		32	0.32898024	0.9620089	0.5666004	1.0	0.821	159	tags=50%, list=29%, signal=66%	
GOBP_ION_TRANSPORT	GOBP_ION_TRANSPORT		55	0.28965992	0.96154267	0.5683168	1.0	0.821	60	tags=22%, list=11%, signal=22%	
HP_ABNORMAL_CEREBRAL_CORTEX_MORPHOLOGY	HP_ABNORMAL_CEREBRAL_CORTEX_MORPHOLOGY		23	0.35216418	0.95986354	0.5511811	1.0	0.822	187	tags=61%, list=34%, signal=89%	
GOCC_SYNAPTIC_MEMBRANE	GOCC_SYNAPTIC_MEMBRANE		21	0.35233805	0.95935035	0.57026476	1.0	0.823	146	tags=48%, list=27%, signal=62%	
GOBP_CELLULAR_HOMEOSTASIS	GOBP_CELLULAR_HOMEOSTASIS		25	0.30911884	0.9591869	0.54865426	1.0	0.823	59	tags=28%, list=11%, signal=30%	
GOCC_NEURON_PROJECTION	GOCC_NEURON_PROJECTION		64	0.30747047	0.95484287	0.5868263	1.0	0.827	159	tags=41%, list=29%, signal=51%	
HP_INVOLUNTARY_MOVEMENTS	HP_INVOLUNTARY_MOVEMENTS		30	0.32698202	0.95472944	0.56116503	1.0	0.827	182	tags=50%, list=33%, signal=71%	
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		28	0.3207516	0.9546428	0.53333336	1.0	0.827	60	tags=25%, list=11%, signal=27%	
GOBP_ION_TRANSMEMBRANE_TRANSPORT	GOBP_ION_TRANSMEMBRANE_TRANSPORT		47	0.29220718	0.95297295	0.5833333	1.0	0.827	81	tags=28%, list=15%, signal=30%	
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT		15	0.3565864	0.9512344	0.5436893	1.0	0.83	116	tags=40%, list=21%, signal=49%	
GOCC_EARLY_ENDOSOME	GOCC_EARLY_ENDOSOME		15	0.3467189	0.9505302	0.53515625	1.0	0.831	92	tags=33%, list=17%, signal=39%	
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND		16	0.34555644	0.95036453	0.5492126	1.0	0.832	130	tags=38%, list=24%, signal=48%	
GOBP_CELL_MORPHOGENESIS	GOBP_CELL_MORPHOGENESIS		34	0.31642	0.9500684	0.5502958	1.0	0.832	177	tags=53%, list=32%, signal=73%	
GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_CIRCULATORY_SYSTEM_PROCESS		25	0.30016607	0.94977593	0.5705645	1.0	0.832	13	tags=12%, list=2%, signal=12%	
GOBP_REGULATION_OF_CELL_DEVELOPMENT	GOBP_REGULATION_OF_CELL_DEVELOPMENT		16	0.35263914	0.94936025	0.548583	1.0	0.833	100	tags=31%, list=18%, signal=37%	
GOBP_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT		26	0.31623724	0.9449388	0.5490982	1.0	0.837	81	tags=35%, list=15%, signal=39%	
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT		27	0.31386375	0.94392616	0.5502008	1.0	0.837	81	tags=33%, list=15%, signal=37%	
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS	GOBP_GLYCOPROTEIN_METABOLIC_PROCESS		19	0.34636888	0.9430291	0.57026476	0.9983775	0.838	63	tags=26%, list=11%, signal=29%	
HP_ABNORMAL_CORPUS_CALLOSUM_MORPHOLOGY	HP_ABNORMAL_CORPUS_CALLOSUM_MORPHOLOGY		32	0.3199082	0.9426498	0.5787402	0.9890157	0.838	158	tags=47%, list=29%, signal=62%	
GOMF_RIBONUCLEOTIDE_BINDING	GOMF_RIBONUCLEOTIDE_BINDING		58	0.28656393	0.9377925	0.6147705	0.99278045	0.842	84	tags=24%, list=15%, signal=25%	
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION		31	0.30926028	0.9364986	0.5378486	0.98721385	0.845	120	tags=29%, list=22%, signal=35%	
GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	GOBP_CELLULAR_LIPID_METABOLIC_PROCESS		24	0.32146713	0.9326792	0.59922177	0.98769206	0.847	74	tags=29%, list=14%, signal=32%	
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION	GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION		15	0.34515202	0.9303312	0.5653061	0.9847823	0.848	85	tags=27%, list=16%, signal=31%	
GOBP_CELL_CYCLE_PROCESS	GOBP_CELL_CYCLE_PROCESS		29	0.30793545	0.92855984	0.5991984	0.98118234	0.853	43	tags=21%, list=8%, signal=21%	
GOBP_REGULATION_OF_ION_TRANSPORT	GOBP_REGULATION_OF_ION_TRANSPORT		27	0.31049997	0.92816615	0.5875251	0.9727442	0.854	81	tags=33%, list=15%, signal=37%	
HP_ABNORMALITY_OF_HINDBRAIN_MORPHOLOGY	HP_ABNORMALITY_OF_HINDBRAIN_MORPHOLOGY		24	0.34646475	0.92618376	0.5805169	0.96870756	0.855	146	tags=42%, list=27%, signal=54%	
GOMF_ADENYL_NUCLEOTIDE_BINDING	GOMF_ADENYL_NUCLEOTIDE_BINDING		45	0.29651624	0.92359126	0.6252546	0.96623886	0.856	116	tags=31%, list=21%, signal=36%	
HP_ABNORMALITY_OF_THE_PHILTRUM	HP_ABNORMALITY_OF_THE_PHILTRUM		20	0.3404344	0.9232987	0.57225436	0.95781285	0.856	134	tags=45%, list=24%, signal=57%	
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS		32	0.29958454	0.923279	0.609901	0.9488393	0.856	179	tags=59%, list=33%, signal=83%	
GOMF_TRANSITION_METAL_ION_BINDING	GOMF_TRANSITION_METAL_ION_BINDING		16	0.34570533	0.9197485	0.6008065	0.9492279	0.856	78	tags=25%, list=14%, signal=28%	
GOCC_DENDRITIC_TREE	GOCC_DENDRITIC_TREE		32	0.31779924	0.9164273	0.64314514	0.94919246	0.857	129	tags=38%, list=24%, signal=46%	
GOMF_GTPASE_ACTIVATOR_ACTIVITY	GOMF_GTPASE_ACTIVATOR_ACTIVITY		16	0.36420175	0.9152086	0.6184739	0.9441978	0.858	28	tags=19%, list=5%, signal=19%	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		40	0.2738443	0.9134095	0.6096154	0.94001955	0.86	103	tags=28%, list=19%, signal=31%	
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND		16	0.34437153	0.91185874	0.598778	0.9353231	0.861	71	tags=19%, list=13%, signal=21%	
GOCC_SIDE_OF_MEMBRANE	GOCC_SIDE_OF_MEMBRANE		16	0.3079714	0.9099806	0.578125	0.9322654	0.862	103	tags=38%, list=19%, signal=45%	
GOBP_MEMBRANE_ORGANIZATION	GOBP_MEMBRANE_ORGANIZATION		30	0.30681214	0.90395486	0.6552419	0.9398093	0.867	114	tags=30%, list=21%, signal=36%	
GOCC_CELL_CELL_JUNCTION	GOCC_CELL_CELL_JUNCTION		16	0.35508603	0.90264815	0.6720322	0.935317	0.868	85	tags=31%, list=16%, signal=36%	
GOCC_AXON	GOCC_AXON		31	0.3161644	0.90033734	0.66533864	0.93368053	0.87	159	tags=42%, list=29%, signal=56%	
GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY	GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY		30	0.32168287	0.8981299	0.6343874	0.9312459	0.872	64	tags=23%, list=12%, signal=25%	
GOBP_REGULATION_OF_CELL_CYCLE	GOBP_REGULATION_OF_CELL_CYCLE		22	0.30873835	0.89556736	0.65050507	0.92903095	0.873	43	tags=18%, list=8%, signal=19%	
GOBP_TISSUE_DEVELOPMENT	GOBP_TISSUE_DEVELOPMENT		42	0.2686566	0.88638216	0.69896907	0.94379544	0.879	60	tags=19%, list=11%, signal=20%	
GOCC_GOLGI_APPARATUS	GOCC_GOLGI_APPARATUS		51	0.2798856	0.88573825	0.66467065	0.937468	0.88	46	tags=16%, list=8%, signal=16%	
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS		28	0.2988007	0.8854717	0.6114519	0.9300359	0.88	62	tags=21%, list=11%, signal=23%	
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS		18	0.32667956	0.8843502	0.7053045	0.9255609	0.881	116	tags=33%, list=21%, signal=41%	
GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		33	0.2909363	0.88350767	0.6626984	0.9200848	0.882	81	tags=27%, list=15%, signal=30%	
HP_ABNORMALITY_OF_THE_SPLEEN	HP_ABNORMALITY_OF_THE_SPLEEN		17	0.31446314	0.8834188	0.6204082	0.9128692	0.882	140	tags=47%, list=26%, signal=61%	
GOCC_SOMATODENDRITIC_COMPARTMENT	GOCC_SOMATODENDRITIC_COMPARTMENT		37	0.2945233	0.8827623	0.68849206	0.9073109	0.882	81	tags=27%, list=15%, signal=30%	
GOBP_BEHAVIOR	GOBP_BEHAVIOR		25	0.28881	0.8789129	0.67741936	0.9099698	0.885	158	tags=48%, list=29%, signal=64%	
GOBP_REGULATION_OF_HYDROLASE_ACTIVITY	GOBP_REGULATION_OF_HYDROLASE_ACTIVITY		28	0.29709527	0.87811464	0.62795275	0.9048824	0.885	131	tags=39%, list=24%, signal=49%	
GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		24	0.30686963	0.8774704	0.65407556	0.89958036	0.887	81	tags=33%, list=15%, signal=37%	
GOBP_CELL_ADHESION	GOBP_CELL_ADHESION		42	0.30070105	0.87154037	0.73185486	0.906416	0.889	177	tags=43%, list=32%, signal=58%	
GOBP_REGULATION_OF_LOCOMOTION	GOBP_REGULATION_OF_LOCOMOTION		33	0.28621164	0.86926025	0.62890625	0.905035	0.89	96	tags=24%, list=18%, signal=28%	
GOBP_CELL_JUNCTION_ORGANIZATION	GOBP_CELL_JUNCTION_ORGANIZATION		27	0.30436197	0.86920995	0.6910891	0.8982099	0.89	130	tags=41%, list=24%, signal=51%	
GOBP_CHEMICAL_HOMEOSTASIS	GOBP_CHEMICAL_HOMEOSTASIS		27	0.2870901	0.869008	0.6527197	0.89177614	0.89	154	tags=52%, list=28%, signal=69%	
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY		16	0.33288833	0.8654037	0.64880955	0.8933029	0.893	64	tags=25%, list=12%, signal=27%	
